dataset_names,species_id,species_sci,species_long,species_short,species_alt,species_taxid,species_color,phylo_order,phylo1_sci,phylo1_color,phylo2_sci,phylo2_color,human_mrca,brain_mass,body_mass,brain_res,CerebralCortex_N_n,CerebralCortex_O_n,WholeBrain_N_n,WholeBrain_O_n,lifestyle,digital_ dexterity
human,HomSap,Homo sapiens,Human,Human,human,9606,#a6ac4b,1,Euarchonta,#a6ac4b,Hominid,#a6ac4b,0,1250.4,"65,143",0.75,16340000000,60840000000,86060000000,84610000000,other,7
chimp,PanTro,Pan troglodytes,Chimpanzee,Chimpanzee,chimp,9598,#6f7620,2,Euarchonta,#a6ac4b,Hominid,#a6ac4b,6,354.8,"60,433",0.22,,,,,scansorial,5
gorilla,GorGor,Gorilla gorilla gorilla,Western lowland gorilla,Gorilla,gorilla,9595,#c9e343,3,Euarchonta,#a6ac4b,Hominid,#a6ac4b,7,454.6,"120,975",0.11,,,,,other,5
rhesus_macaque,MacMul,Macaca mulatta,Rhesus macaque,Rhesus macaque,macaque_rhesus,9544,#87ab52,4,Euarchonta,#a6ac4b,Cercopithecid,#87ab52,28,88,"4,613",0.46,1710000000,5270000000,6376160000,7162900000,scansorial,6
macaque_nemestrina,MacNem,Macaca nemestrina,Southern pig-tailed macaque,Pig-tailed macaque,macaque_nemestrina,9545,#98cd48,5,Euarchonta,#a6ac4b,Cercopithecid,#87ab52,28,110,"4,456",0.56,,,,,scansorial,6
baboon,PapAnu,Papio anubis,Olive baboon,Baboon,baboon,9555,#649932,6,Euarchonta,#a6ac4b,Cercopithecid,#87ab52,28,152.4,"13,300",0.35,2875028372,7569751628,10948086440,9175538564,other,6
african_green_monkey,ChlSab,Chlorocebus sabaeus,African green monkey,Green monkey,african_green_monkey,60711,#76ea3d,7,Euarchonta,#a6ac4b,Cercopithecid,#87ab52,28,64.9,"4,312",0.35,,,,,scansorial,6
south_american_squirrel_monkey,SaiBol,Saimiri boliviensis boliviensis,Black-capped squirrel monkey,Squirrel monkey,squirrel_monkey,39432,#306519,8,Euarchonta,#a6ac4b,Platyrrhine,#306519,39,24.1,750,0.48,1340000000,1610000000,3246430000,2073030000,scansorial,5
capuchin,SapApe,Sapajus apella,Tufted capuchin,Capuchin,capuchin,9516,#99d785,9,Euarchonta,#a6ac4b,Platyrrhine,#306519,39,70.1,"2,105",0.61,1140000000,2550000000,3690520000,3297740000,scansorial,5
marmoset,CalJac,Callithrix jacchus,Common marmoset,Marmoset,marmoset,9483,#42ae37,10,Euarchonta,#a6ac4b,Platyrrhine,#306519,39,7.7,347,0.24,244720000,395340000,635800000,590740000,scansorial,4
owl_monkey,AotNan,Aotus nancymaae,Peruvian red-necked owl monkey,Owl monkey,owl_monkey,37293,#469351,11,Euarchonta,#a6ac4b,Platyrrhine,#306519,39,20.7,"1,230",0.26,441900000,695420000,1468410000,1195130000,scansorial,5
galago,OtoGar,Otolemur garnettii,Small-eared greater galago,Galago,galago,30611,#3fb17f,12,Euarchonta,#a6ac4b,Strepsirrhine,#3fb17f,64,11.5,764,0.16,226090000,402070000,936000000,666590000,scansorial,5
gray_mouse_lemur,MicMur,Microcebus murinus,Gray mouse lemur,Mouse lemur,mouse_lemur,30608,#64e57d,13,Euarchonta,#a6ac4b,Strepsirrhine,#3fb17f,64,1.8,58,0.2,22310400,70649600,254711180,138948820,scansorial,5
treeshrew,TupBel,Tupaia belangeri,Northern treeshrew,Treeshrew,treeshrew,37347,#5de8c1,14,Euarchonta,#a6ac4b,Scandentia,#5de8c1,79,3.2,170,0.09,60390000,85580000,261400000,199650000,scansorial,3
mouse,MusMus,Mus musculus,Mouse,Mouse,mouse,10090,#52a1e5,15,Glires,#52a1e5,Rodentia,#52a1e5,82,0.4,15,-0.02,13688162,12061838,67873741,33858759,other,3
rat,RatNor,Rattus norvegicus,Brown rat,Rat,rat,10116,#3d63ab,16,Glires,#52a1e5,Rodentia,#52a1e5,82,1.7,360,0.25,31017192,45687808,188867832,121914668,other,3
naked_mole_rat,HetGla,Heterocephalus glaber,Naked mole rat,Naked mole rat,naked_mole_rat,10181,#6c84e0,17,Glires,#52a1e5,Rodentia,#52a1e5,82,0.5,61,-0.36,6151875,8398125,26875462,24191205,fossorial,
arctic_ground_squirrel,UroPar,Urocitellus parryii,Arctic ground squirrel,Ground squirrel,arctic_ground_squirrel,9999,#324490,18,Glires,#52a1e5,Rodentia,#52a1e5,82,5.7,865,-0.19,,,,,other,3
rabbit,OryCun,Oryctolagus cuniculus,European rabbit,Rabbit,rabbit,9986,#445cda,19,Glires,#52a1e5,Lagomorph,#445cda,82,11.1,"2,158",-0.2,71448750,254801250,494205000,630795000,fossorial,2
ferret,MusPut,Mustela putorius furo,Ferret,Ferret,ferret,9669,#d7622c,20,Laurasiatheria,#d7622c,Carnivora,#d7622c,99,7.9,915,-0.07,,,,,other,3
coyote,CanLat,Canis latrans,Coyote,Coyote,coyote,9614,#9c4f24,21,Laurasiatheria,#d7622c,Carnivora,#d7622c,99,84.5,"9,760",0.19,,,,,other,2
cat,FelCat,Felis catus,Cat,Cat,cat,9685,#b98a3d,22,Laurasiatheria,#d7622c,Carnivora,#d7622c,99,25.6,"3,300",0.03,,,,,scansorial,2
pig,SusScr,Sus scrofa,Pig,Pig,pig,9823,#e0bc3e,23,Laurasiatheria,#d7622c,Artiodactyla,#e0bc3e,99,169.8,"86,773",-0.21,307082404,3250251354,2224112553,4695783705,other,2
armadillo,DasNov,Dasypus novemcinctus,Nine-banded armadillo,Armadillo,armadillo,9361,#dd8fc3,24,Xenarthra,#dd8fc3,Cingulata,#dd8fc3,104,8.5,"2,744",-0.39,,,,,fossorial,1
opossum,MonDom,Monodelphis domestica,Gray short-tailed opossum,Opossum,opossum,13616,#df423c,25,Marsupialia,#df423c,Didelphimorphia,#df423c,173,0.9,70,-0.17,,,,,other,3